START - INICIAR
INIT - IDENTIFICADOR
_moveForward - IDENTIFICADOR
SET_SPEED - IDENTIFICADOR
= - ASIGNACION
10 - NUMERO_ENTERO
increaseSpeed - IDENTIFICADOR
TURN_LEFT - TURN_LEFT
moveTo - IDENTIFICADOR
rotateAngle - IDENTIFICADOR
WAIT - IDENTIFICADOR
IF - IF
condition - IDENTIFICADOR
THEN - THEN
sensor_1 - IDENTIFICADOR
READ_SENSOR - LEER_SENSOR
logEntry - IDENTIFICADOR
ELSE - ELSE
deactivateSensor_01 - IDENTIFICADOR
LOG - IDENTIFICADOR
" - COMILLAS
Sensor - IDENTIFICADOR
inactivo - IDENTIFICADOR
" - COMILLAS
END - END
FOR - FOR
counter - IDENTIFICADOR
= - ASIGNACION
1 - NUMERO_ENTERO
TO - IDENTIFICADOR
10 - NUMERO_ENTERO
DO - IDENTIFICADOR
MOVE_BACKWARD - MOVE_BACKWARD
TURN_RIGHT - TURN_RIGHT
IF - IF
counter - IDENTIFICADOR
> - MAYOR_QUE
5 - NUMERO_ENTERO
THEN - THEN
PAUSE - PAUSA
END - END
RESUME - RESUME
END - END
fileUploader - IDENTIFICADOR
DELETE_FILE - IDENTIFICADOR
COPY_FILE - IDENTIFICADOR
RENAME_FILE - IDENTIFICADOR
SAVE_FILE - IDENTIFICADOR
WHILE - WHILE
lowBatteryStatus - IDENTIFICADOR
DO - IDENTIFICADOR
CHECK_BATTERY - IDENTIFICADOR
chargeBattery_99 - IDENTIFICADOR
END - END
alarmActivator - IDENTIFICADOR
DEACTIVATE_ALARM - IDENTIFICADOR
TOGGLE_LIGHT - IDENTIFICADOR
BREAK - IDENTIFICADOR
CONTINUE - IDENTIFICADOR
SHUTDOWN - SHUTDOWN
systemReboot - IDENTIFICADOR
RESET - IDENTIFICADOR
CALIBRATE - IDENTIFICADOR
doorControl - IDENTIFICADOR
CLOSE_DOOR - IDENTIFICADOR
LOCK - IDENTIFICADOR
unlock_system - IDENTIFICADOR
PRINT - IDENTIFICADOR
" - COMILLAS
Finalizando - IDENTIFICADOR
" - COMILLAS
